area_type,availability,address,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",3 BHK,SGncy R,2040,3,,200
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",2 BHK,,1213,2,1,63
Plot  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",4 Bedroom,,600,4,3,125
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",3 BHK,,1350,2,,58
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",2 BHK,NCierar,1170,2,2,120
Built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",2 BHK,,1216,2,2,60
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",2 BHK,JClyner,1460,2,,80
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",3 BHK,Solip T,2003,3,3,200
Super built-up  Area,18-08-2023,"6th Phase JP Nagar,Bangalore",3 BHK,,1250,3,3,48.9
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",3 BHK,HMinebo,1810,3,3,131
Built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",1 BHK,,750,1,1,105
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",3 BHK,NCierar,1515,2,2,135
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",2 BHK,HMinebo,1192,2,3,75
Super built-up  Area,Ready To Move,"6th Phase JP Nagar,Bangalore",2 BHK,HMinebo,1280,2,1,88
Built-up  Area,Ready To Move,"7th Block Jayanagar,Bangalore",5 Bedroom,,3000,3,1,528
Plot  Area,Ready To Move,"7th Block Jayanagar,Bangalore",4 Bedroom,,2400,3,2,480
Super built-up  Area,Ready To Move,"7th Block Jayanagar,Bangalore",3 BHK,Jaitira,1707,3,2,171
Plot  Area,Ready To Move,"7th Block Jayanagar,Bangalore",3 Bedroom,,2400,3,0,408
Built-up  Area,Ready To Move,"7th Block Jayanagar,Bangalore",3 BHK,Shamzm ,1903,2,1,293
Plot  Area,Ready To Move,"7th Block Koramangala,Bangalore",6 Bedroom,,600,5,3,130
Super built-up  Area,19-01-2023,"7th Phase JP Nagar,Bangalore",2 BHK,,1187,2,1,59
Super built-up  Area,19-12-2023,"7th Phase JP Nagar,Bangalore",3 BHK,Puarero,2225,3,1,160
Super built-up  Area,19-12-2023,"7th Phase JP Nagar,Bangalore",4 BHK,Puarero,2503,4,0,188
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,1080,2,2,72
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brnia G,1420,2,1,100
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brngsal,1850,3,1,150
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Eladero,1245,2,1,94
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,1050,2,1,71
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,918,2,1,50.49
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",6 BHK,BriumMi,5080,7,,450
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,LencyRe,1050,2,1,57
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1400,3,1,115
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",4 Bedroom,,3300,4,0,150
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",4 Bedroom,RBRWAyo,3600,3,2,410
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",7 Bedroom,,4800,7,0,170
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1575,2,2,120
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 Bedroom,,3300,4,3,160
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Kaiew L,1460,3,1,70
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Prhna S,850,2,2,42
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1680,3,2,117
Plot  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",8 Bedroom,,1200,8,,250
Plot  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 Bedroom,,1500,3,1,170
Plot  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",4 Bedroom,,1500,5,3,220
Plot  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",6 Bedroom,,1045,6,3,160
Plot  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 Bedroom,,2200,4,2,105
Plot  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 Bedroom,,1200,2,2,200
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Shncyes,1000,2,1,38
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,BriumMi,1270,2,2,93
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,BriumMi,1175,2,1,82
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brnia G,1400,2,1,95
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",4 BHK,,3600,4,3,400
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1100,2,0,46
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brsiaen,1450,2,1,100
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,SrncyRe,1040,2,1,39.52
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,SrncyRe,1070,2,1,42.79
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Vasta C,1190,2,1,49.98
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brnia G,1420,2,2,96
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1680,3,2,120
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1050,2,1,42
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,980,2,2,69
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1035,2,1,41.39
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1370,2,1,56.17
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Hiestre,1180,2,2,72
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,,1300,2,2,52
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Vasta C,1343,2,2,56.41
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Vasta C,1405,2,2,59.01
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,SrncyRe,1075,2,1,42.99
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1100,2,2,44
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,BriumMi,1270,2,1,83
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,BriumMi,2200,3,2,190
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1035,2,1,39.33
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,JDensar,1250,3,2,65
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1050,2,1,42
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Vasta C,1385,2,2,58.17
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1575,2,2,110
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brngsal,1850,3,2,140
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,SrncyRe,1370,2,2,54.79
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,,1370,2,1,54.79
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,,1300,2,2,52
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brngsal,1850,3,2,150
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1680,3,2,120
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Kaiew L,1212,3,1,42
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,BriumMi,1175,2,2,82.5
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,BriumMi,1215,2,2,90
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,1050,2,1,75
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Axdam V,1300,3,2,89.13
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,1130,2,2,73
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,BriumMi,1450,3,2,100
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,,1350,3,2,58
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Srayai ,1050,2,1,50
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,BriumMi,1275,2,1,87
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1650,3,2,110
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brngsal,1850,3,1,150
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1236,2,2,61.33
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Hiestre,1000,2,2,53
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1680,3,2,125
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1675,2,2,135
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1035,2,1,39.33
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brngsal,1850,3,2,155
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1000,2,1,61
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brnia G,1460,2,2,100
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brnia G,1650,3,3,110
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Hiestre,1200,2,2,62.5
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Axdam V,1000,2,1,70.65
Super built-up  Area,18-08-2023,"7th Phase JP Nagar,Bangalore",2 BHK,,1070,2,2,42
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,1080,2,2,75
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,,2100,3,2,200
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Kaiew L,1415,3,1,65
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1680,3,3,125
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,SrncyRe,1040,2,1,41.59
Plot  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",5 Bedroom,,1800,6,3,270
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1100,2,1,44
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brnia G,1460,2,1,97
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1120,2,2,65
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Panorse,1100,3,1,60
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1790,3,3,120
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1680,3,2,117
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,1050,2,1,77
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Shncyes,1174,2,1,47
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,1050,2,1,75
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,1040,2,1,75
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brnia G,1400,2,1,95
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,BriumMi,1800,3,2,130
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,1050,2,0,68
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,,1400,2,2,57
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,AiIIIpl,1000,2,2,60
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1680,3,2,125
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,980,2,1,86
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,SrncyRe,1370,2,2,54.79
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,1050,2,1,77.47
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,BriumMi,1270,2,1,80
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Vasta C,1463,2,1,61.45
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1680,3,2,122
Plot  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",1 Bedroom,,500,1,0,70
Plot  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",6 Bedroom,,650,6,2,80
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,SrncyRe,1070,2,1,42.79
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,1130,2,2,85
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1680,3,3,130
Super built-up  Area,18-07-2023,"7th Phase JP Nagar,Bangalore",3 BHK,,2000,3,2,77
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,,1300,2,2,52
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,BriumMi,2980,4,2,260
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Brnia G,980,2,1,77.44
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1680,3,2,112
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Srncya ,1515,2,1,76
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,,2095,3,2,150
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,SrncyRe,1370,2,1,54.79
Plot  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",4 Bedroom,,3200,4,2,350
Super built-up  Area,19-12-2023,"7th Phase JP Nagar,Bangalore",3 BHK,Puarero,1976,3,1,145
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1600,2,2,110
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1765,3,2,118
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,,1275,2,2,88
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,BriumMi,1450,2,1,102
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1035,2,1,39.33
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Eladero,1575,2,2,110
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,BriumMi,2100,3,2,200
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,LencyRe,1075,2,1,57
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",1 BHK,Brnia G,750,1,2,47
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1050,2,1,42
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,990,2,2,50
Plot  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",1 Bedroom,,1000,1,1,60
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,,1680,2,3,92
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1100,2,1,44
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,Brnia G,1430,2,1,102
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,Prhna S,1128,2,1,60
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,,2100,3,2,190
Built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1140,2,1,57
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",3 BHK,,1420,3,2,90
Super built-up  Area,Ready To Move,"7th Phase JP Nagar,Bangalore",2 BHK,,1530,2,1,108
Super built-up  Area,18-05-2023,"8th Block Jayanagar,Bangalore",2 BHK,,1100,2,2,110
Plot  Area,Ready To Move,"8th Block Jayanagar,Bangalore",2 Bedroom,,2800,2,0,650
Built-up  Area,Ready To Move,"8th Block Jayanagar,Bangalore",6 Bedroom,,2000,6,3,300
Plot  Area,Ready To Move,"8th Block Jayanagar,Bangalore",6 Bedroom,,1500,6,1,300
Plot  Area,Ready To Move,"8th block Koramangala,Bangalore",3 Bedroom,,1846,3,2,300
Plot  Area,Ready To Move,"8th block Koramangala,Bangalore",2 Bedroom,,1410,1,0,233
Plot  Area,Ready To Move,"8th block Koramangala,Bangalore",3 Bedroom,,2400,3,2,290
Plot  Area,Ready To Move,"8th block Koramangala,Bangalore",4 Bedroom,,1650,3,1,300
Super built-up  Area,Ready To Move,"8th block Koramangala,Bangalore",2 BHK,Sid 2ss,1165,2,1,135
Super built-up  Area,Ready To Move,"8th block Koramangala,Bangalore",2 BHK,,1209,2,2,100
Plot  Area,Ready To Move,"8th block Koramangala,Bangalore",3 Bedroom,,600,2,1,85
Super built-up  Area,18-01-2023,"8th Phase JP Nagar,Bangalore",2 BHK,,1059,2,2,34.5
Super built-up  Area,18-05-2023,"8th Phase JP Nagar,Bangalore",1 BHK,Maian M,451,1,0,29.9
Super built-up  Area,18-06-2023,"8th Phase JP Nagar,Bangalore",3 BHK,,1240,3,2,43.5
Super built-up  Area,18-06-2023,"8th Phase JP Nagar,Bangalore",3 BHK,,1230,2,2,43.5
Super built-up  Area,18-06-2023,"8th Phase JP Nagar,Bangalore",2 BHK,,1080,2,2,35
Super built-up  Area,18-06-2023,"8th Phase JP Nagar,Bangalore",3 BHK,,1275,2,2,41.5
Super built-up  Area,18-06-2023,"8th Phase JP Nagar,Bangalore",2 BHK,,1100,2,2,35
Super built-up  Area,18-07-2023,"8th Phase JP Nagar,Bangalore",1 BHK,Maian M,500,1,1,31
Super built-up  Area,18-10-2023,"8th Phase JP Nagar,Bangalore",2 BHK,,1080,2,2,38
Super built-up  Area,19-03-2023,"8th Phase JP Nagar,Bangalore",2 BHK,Vaarech,1073.5,2,0,54.01
Super built-up  Area,20-03-2023,"8th Phase JP Nagar,Bangalore",3 BHK,Vaarech,1455,3,2,73.31
Built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",4 Bedroom,,2700,4,2,130
Plot  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",4 Bedroom,,660,4,2,90
Plot  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",4 Bedroom,,1200,4,2,145
Plot  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",9 Bedroom,,1200,8,,225
Plot  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",3 Bedroom,Hincy V,950,3,2,130
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,MBodsen,1062,2,1,42.47
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,i1rtsCo,871,2,2,55
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,MBodsen,1098,2,1,43.91
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",3 BHK,,1800,3,1,80
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,MBodsen,1062,2,1,42.47
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",4 BHK,,2100,4,3,92
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,,1035,2,1,39.33
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,MBodsen,909,2,1,40.9
Super built-up  Area,19-03-2023,"8th Phase JP Nagar,Bangalore",3 BHK,Vaarech,1431.5,3,0,72.02
Built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",3 Bedroom,,1900,4,1,90
Built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",4 BHK,,1200,4,1,140
Super built-up  Area,18-07-2023,"8th Phase JP Nagar,Bangalore",1 BHK,Maian M,500,1,1,30
Super built-up  Area,18-06-2023,"8th Phase JP Nagar,Bangalore",2 BHK,,1125,2,2,36.94
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",4 BHK,,1200,3,2,110
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,,1100,2,3,35
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,,1089,2,1,43.55
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",3 BHK,Yaenti ,1605,2,2,65
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",3 BHK,GRhtsei,1504,2,2,83
Built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",4 Bedroom,,2600,4,2,115
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",3 BHK,MBodsen,1368,2,1,54.71
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,MBodsen,1089,2,1,43.55
Built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",4 Bedroom,,1800,4,0,230
Plot  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",6 Bedroom,,1200,6,1,260
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",3 BHK,MBodsen,1224,2,2,48.95
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,HMityld,1513,2,3,62
Built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,,1298,2,1,59
Built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,SVthaho,1006,2,0,44
Carpet  Area,18-07-2023,"8th Phase JP Nagar,Bangalore",1 BHK,Maian M,500,1,1,33
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,URncysi,1160,2,1,95
Super built-up  Area,18-03-2023,"8th Phase JP Nagar,Bangalore",2 BHK,,1245,2,1,59
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",2 BHK,HMityld,1510,2,3,80
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",3 BHK,,3300,3,2,165
Plot  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",4 Bedroom,,1200,4,2,270
Built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",5 Bedroom,,1730,5,2,75
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",3 BHK,MBodsen,1296,2,2,51.83
Super built-up  Area,18-04-2023,"8th Phase JP Nagar,Bangalore",3 BHK,,1275,3,2,45
Super built-up  Area,18-06-2023,"8th Phase JP Nagar,Bangalore",2 BHK,Maian M,1046,2,1,48
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",3 BHK,MBodsen,1269,2,3,50.75
Super built-up  Area,19-03-2023,"8th Phase JP Nagar,Bangalore",3 BHK,Vaarech,1408,3,2,80
Plot  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",4 Bedroom,,600,5,2,99
Super built-up  Area,Ready To Move,"8th Phase JP Nagar,Bangalore",3 BHK,Yaenti ,1500,2,3,55
Plot  Area,Ready To Move,"9th Block Jayanagar,Bangalore",1 Bedroom,,700,1,0,150
Plot  Area,Ready To Move,"9th Block Jayanagar,Bangalore",9 Bedroom,,1200,8,3,270
Plot  Area,Ready To Move,"9th Block Jayanagar,Bangalore",6 Bedroom,,1200,5,1,280
Plot  Area,Ready To Move,"9th Block Jayanagar,Bangalore",4 Bedroom,,1000,5,2,200
Plot  Area,Ready To Move,"9th Block Jayanagar,Bangalore",4 Bedroom,,1440,4,1,240
Super built-up  Area,18-03-2023,"9th Phase JP Nagar,Bangalore",2 BHK,HMigond,1466,2,2,71
Super built-up  Area,18-06-2023,"9th Phase JP Nagar,Bangalore",2 BHK,,1080,2,2,37
Super built-up  Area,18-07-2023,"9th Phase JP Nagar,Bangalore",2 BHK,,1050,2,2,39
Super built-up  Area,19-12-2023,"9th Phase JP Nagar,Bangalore",2 BHK,,1127,2,1,50
Super built-up  Area,21-09-2023,"9th Phase JP Nagar,Bangalore",2 BHK,Vasisvi,1100,2,1,65
Super built-up  Area,21-09-2023,"9th Phase JP Nagar,Bangalore",2 BHK,Vasisvi,1079,2,1,60
Built-up  Area,Ready To Move,"9th Phase JP Nagar,Bangalore",3 BHK,ImiteEl,1890,2,2,85
Built-up  Area,Ready To Move,"9th Phase JP Nagar,Bangalore",2 BHK,NaensGa,1035,2,1,45
Built-up  Area,Ready To Move,"9th Phase JP Nagar,Bangalore",4 BHK,ImiteEl,5000,4,3,290
Built-up  Area,Ready To Move,"9th Phase JP Nagar,Bangalore",2 BHK,,1164,2,1,56
Built-up  Area,Ready To Move,"9th Phase JP Nagar,Bangalore",4 BHK,ImiteEl,3500,4,,300
